Current Time                                                                Throughput               
0.000000                                                                    0.000000                 

68.000000                                                                   1470.588235              

120.000000                                                                  1923.076923              

175.000000                                                                  1818.181818              

223.000000                                                                  2083.333333              

286.000000                                                                  1587.301587              

339.000000                                                                  1886.792453              

387.000000                                                                  2083.333333              

436.000000                                                                  2040.816327              

484.000000                                                                  2083.333333              

530.000000                                                                  2173.913043              

578.000000                                                                  2083.333333              

628.000000                                                                  2000.000000              

678.000000                                                                  2000.000000              

732.000000                                                                  1851.851852              

783.000000                                                                  1960.784314              

835.000000                                                                  1923.076923              

889.000000                                                                  1851.851852              

968.000000                                                                  1265.822785              

1013.000000                                                                 2222.222222              

1140.000000                                                                 787.401575               

1198.000000                                                                 1724.137931              

1255.000000                                                                 1754.385965              

1295.000000                                                                 2500.000000              

1342.000000                                                                 2127.659574              

1386.000000                                                                 2272.727273              

1428.000000                                                                 2380.952381              

1470.000000                                                                 2380.952381              

1518.000000                                                                 2083.333333              

1559.000000                                                                 2439.024390              

1607.000000                                                                 2083.333333              

1653.000000                                                                 2173.913043              

1704.000000                                                                 1960.784314              

1749.000000                                                                 2222.222222              

1801.000000                                                                 1923.076923              

1853.000000                                                                 1923.076923              

1901.000000                                                                 2083.333333              

1945.000000                                                                 2272.727273              

1996.000000                                                                 1960.784314              

2041.000000                                                                 2222.222222              

2088.000000                                                                 2127.659574              

2140.000000                                                                 1923.076923              

2187.000000                                                                 2127.659574              

2236.000000                                                                 2040.816327              

2286.000000                                                                 2000.000000              

2337.000000                                                                 1960.784314              

2387.000000                                                                 2000.000000              

2442.000000                                                                 1818.181818              

2492.000000                                                                 2000.000000              

2552.000000                                                                 1666.666667              

2600.000000                                                                 2083.333333              

2649.000000                                                                 2040.816327              

2692.000000                                                                 2325.581395              

2750.000000                                                                 1724.137931              

2794.000000                                                                 2272.727273              

2839.000000                                                                 2222.222222              

2891.000000                                                                 1923.076923              

2941.000000                                                                 2000.000000              

2991.000000                                                                 2000.000000              

3039.000000                                                                 2083.333333              

3082.000000                                                                 2325.581395              

3128.000000                                                                 2173.913043              

3169.000000                                                                 2439.024390              

3219.000000                                                                 2000.000000              

3264.000000                                                                 2222.222222              

3309.000000                                                                 2222.222222              

3352.000000                                                                 2325.581395              

3403.000000                                                                 1960.784314              

3444.000000                                                                 2439.024390              

3485.000000                                                                 2439.024390              

3530.000000                                                                 2222.222222              

3573.000000                                                                 2325.581395              

3623.000000                                                                 2000.000000              

3667.000000                                                                 2272.727273              

3712.000000                                                                 2222.222222              

3759.000000                                                                 2127.659574              

3807.000000                                                                 2083.333333              

3854.000000                                                                 2127.659574              

3899.000000                                                                 2222.222222              

3952.000000                                                                 1886.792453              

3993.000000                                                                 2439.024390              

4037.000000                                                                 2272.727273              

4081.000000                                                                 2272.727273              

4130.000000                                                                 2040.816327              

4177.000000                                                                 2127.659574              

4220.000000                                                                 2325.581395              

4267.000000                                                                 2127.659574              

4311.000000                                                                 2272.727273              

4363.000000                                                                 1923.076923              

4406.000000                                                                 2325.581395              

4449.000000                                                                 2325.581395              

4492.000000                                                                 2325.581395              

4545.000000                                                                 1886.792453              

4599.000000                                                                 1851.851852              

4644.000000                                                                 2222.222222              

4694.000000                                                                 2000.000000              

4739.000000                                                                 2222.222222              

4780.000000                                                                 2439.024390              

4825.000000                                                                 2222.222222              

4868.000000                                                                 2325.581395              

4917.000000                                                                 2040.816327              

4961.000000                                                                 2272.727273              

5004.000000                                                                 2325.581395              

5045.000000                                                                 2439.024390              

5088.000000                                                                 2325.581395              

5130.000000                                                                 2380.952381              

5175.000000                                                                 2222.222222              

5217.000000                                                                 2380.952381              

5262.000000                                                                 2222.222222              

5314.000000                                                                 1923.076923              

5362.000000                                                                 2083.333333              

5406.000000                                                                 2272.727273              

5453.000000                                                                 2127.659574              

5503.000000                                                                 2000.000000              

5544.000000                                                                 2439.024390              

5587.000000                                                                 2325.581395              

5627.000000                                                                 2500.000000              

5696.000000                                                                 1449.275362              

5748.000000                                                                 1923.076923              

5802.000000                                                                 1851.851852              

5846.000000                                                                 2272.727273              

5899.000000                                                                 1886.792453              

5946.000000                                                                 2127.659574              

5997.000000                                                                 1960.784314              

6048.000000                                                                 1960.784314              

6093.000000                                                                 2222.222222              

6144.000000                                                                 1960.784314              

6187.000000                                                                 2325.581395              

6234.000000                                                                 2127.659574              

6281.000000                                                                 2127.659574              

6323.000000                                                                 2380.952381              

6365.000000                                                                 2380.952381              

6406.000000                                                                 2439.024390              

6455.000000                                                                 2040.816327              

6500.000000                                                                 2222.222222              

6545.000000                                                                 2222.222222              

6592.000000                                                                 2127.659574              

6636.000000                                                                 2272.727273              

6685.000000                                                                 2040.816327              

6731.000000                                                                 2173.913043              

6774.000000                                                                 2325.581395              

6822.000000                                                                 2083.333333              

6867.000000                                                                 2222.222222              

6915.000000                                                                 2083.333333              

6959.000000                                                                 2272.727273              

7007.000000                                                                 2083.333333              

7054.000000                                                                 2127.659574              

7100.000000                                                                 2173.913043              

7142.000000                                                                 2380.952381              

7187.000000                                                                 2222.222222              

7233.000000                                                                 2173.913043              

7274.000000                                                                 2439.024390              

7320.000000                                                                 2173.913043              

7363.000000                                                                 2325.581395              

7409.000000                                                                 2173.913043              

7452.000000                                                                 2325.581395              

7497.000000                                                                 2222.222222              

7544.000000                                                                 2127.659574              

7593.000000                                                                 2040.816327              

7642.000000                                                                 2040.816327              

7685.000000                                                                 2325.581395              

7736.000000                                                                 1960.784314              

7780.000000                                                                 2272.727273              

7826.000000                                                                 2173.913043              

7873.000000                                                                 2127.659574              

7921.000000                                                                 2083.333333              

7964.000000                                                                 2325.581395              

8007.000000                                                                 2325.581395              

8051.000000                                                                 2272.727273              

8098.000000                                                                 2127.659574              

8146.000000                                                                 2083.333333              

8191.000000                                                                 2222.222222              

8240.000000                                                                 2040.816327              

8284.000000                                                                 2272.727273              

8335.000000                                                                 1960.784314              

8384.000000                                                                 2040.816327              

8426.000000                                                                 2380.952381              

8473.000000                                                                 2127.659574              

8522.000000                                                                 2040.816327              

8566.000000                                                                 2272.727273              

8611.000000                                                                 2222.222222              

8657.000000                                                                 2173.913043              

8704.000000                                                                 2127.659574              

8750.000000                                                                 2173.913043              

8805.000000                                                                 1818.181818              

8851.000000                                                                 2173.913043              

8896.000000                                                                 2222.222222              

8942.000000                                                                 2173.913043              

8992.000000                                                                 2000.000000              

9033.000000                                                                 2439.024390              

9078.000000                                                                 2222.222222              

9120.000000                                                                 2380.952381              

9177.000000                                                                 1754.385965              

9228.000000                                                                 1960.784314              

9271.000000                                                                 2325.581395              

9320.000000                                                                 2040.816327              

9364.000000                                                                 2272.727273              

9411.000000                                                                 2127.659574              

9457.000000                                                                 2173.913043              

9502.000000                                                                 2222.222222              

9546.000000                                                                 2272.727273              

9594.000000                                                                 2083.333333              

